DEBUG | 2018-04-16 15:44:47,771 | [bootstrap,,,] | restartedMain org.springframework.boot.logging.ClasspathLoggingApplicationListener | Application started with classpath: [file:/C:/Users/wangx/git/cxgmAPP/cxgm-parent/cxgm-framework/cxgm-eureka-register/target/classes/]
DEBUG | 2018-04-16 15:44:47,853 | [bootstrap,,,] | restartedMain org.springframework.core.env.PropertySourcesPropertyResolver | Could not find key 'vcap.application.name:bootstrap' in any property source
DEBUG | 2018-04-16 15:44:47,853 | [bootstrap,,,] | restartedMain org.springframework.core.env.PropertySourcesPropertyResolver | Could not find key 'vcap.application.name' in any property source
DEBUG | 2018-04-16 15:44:47,854 | [bootstrap,,,] | restartedMain org.springframework.core.env.PropertySourcesPropertyResolver | Could not find key 'spring.application.name:bootstrap' in any property source
DEBUG | 2018-04-16 15:44:47,854 | [bootstrap,,,] | restartedMain org.springframework.core.env.PropertySourcesPropertyResolver | Found key 'spring.application.name' in PropertySource 'defaultProperties' with value of type String
DEBUG | 2018-04-16 15:44:47,854 | [bootstrap,,,] | restartedMain org.springframework.core.env.PropertySourcesPropertyResolver | Could not find key 'PORT:null' in any property source
DEBUG | 2018-04-16 15:44:47,854 | [bootstrap,,,] | restartedMain org.springframework.core.env.PropertySourcesPropertyResolver | Could not find key 'PORT' in any property source
DEBUG | 2018-04-16 15:44:47,854 | [bootstrap,,,] | restartedMain org.springframework.core.env.PropertySourcesPropertyResolver | Could not find key 'server.port:null' in any property source
DEBUG | 2018-04-16 15:44:47,854 | [bootstrap,,,] | restartedMain org.springframework.core.env.PropertySourcesPropertyResolver | Could not find key 'server.port' in any property source
DEBUG | 2018-04-16 15:44:47,854 | [bootstrap,,,] | restartedMain org.springframework.core.env.PropertySourcesPropertyResolver | Could not find key 'spring.application.index:null' in any property source
DEBUG | 2018-04-16 15:44:47,854 | [bootstrap,,,] | restartedMain org.springframework.core.env.PropertySourcesPropertyResolver | Could not find key 'spring.application.index' in any property source
DEBUG | 2018-04-16 15:44:47,854 | [bootstrap,,,] | restartedMain org.springframework.core.env.PropertySourcesPropertyResolver | Could not find key 'vcap.application.instance_index:null' in any property source
DEBUG | 2018-04-16 15:44:47,854 | [bootstrap,,,] | restartedMain org.springframework.core.env.PropertySourcesPropertyResolver | Could not find key 'vcap.application.instance_index' in any property source
DEBUG | 2018-04-16 15:44:47,854 | [bootstrap,,,] | restartedMain org.springframework.core.env.PropertySourcesPropertyResolver | Could not find key 'spring.profiles.active' in any property source
DEBUG | 2018-04-16 15:44:47,856 | [bootstrap,,,] | restartedMain org.springframework.beans.factory.support.DefaultListableBeanFactory | Registering scope 'restart' with implementation [org.springframework.boot.devtools.restart.RestartScopeInitializer$RestartScope@23d6f436]
DEBUG | 2018-04-16 15:44:47,859 | [bootstrap,,,] | restartedMain org.springframework.beans.factory.support.DefaultListableBeanFactory | Returning cached instance of singleton bean 'autoConfigurationReport'
DEBUG | 2018-04-16 15:44:47,860 | [bootstrap,,,] | restartedMain org.springframework.boot.SpringApplication | Loading source class org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration,class org.springframework.cloud.bootstrap.encrypt.EncryptionBootstrapConfiguration,class org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration,class org.springframework.boot.autoconfigure.PropertyPlaceholderAutoConfiguration,class org.springframework.cloud.netflix.eureka.config.EurekaDiscoveryClientConfigServiceBootstrapConfiguration,class org.springframework.cloud.config.client.ConfigServiceBootstrapConfiguration,class org.springframework.cloud.config.client.DiscoveryClientConfigServiceBootstrapConfiguration
DEBUG | 2018-04-16 15:44:47,868 | [bootstrap,,,] | restartedMain org.springframework.context.annotation.ClassPathBeanDefinitionScanner | JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
DEBUG | 2018-04-16 15:44:47,868 | [bootstrap,,,] | restartedMain org.springframework.context.annotation.ClassPathBeanDefinitionScanner | JSR-330 'javax.inject.Named' annotation found and supported for component scanning
DEBUG | 2018-04-16 15:44:47,890 | [bootstrap,,,] | restartedMain org.springframework.beans.factory.support.DefaultListableBeanFactory | Returning cached instance of singleton bean 'autoConfigurationReport'
DEBUG | 2018-04-16 15:44:47,900 | [bootstrap,,,] | restartedMain org.springframework.beans.factory.support.DefaultListableBeanFactory | Returning cached instance of singleton bean 'autoConfigurationReport'
DEBUG | 2018-04-16 15:44:47,902 | [bootstrap,,,] | restartedMain org.springframework.beans.factory.support.DefaultListableBeanFactory | Returning cached instance of singleton bean 'autoConfigurationReport'
DEBUG | 2018-04-16 15:44:47,906 | [bootstrap,,,] | restartedMain org.springframework.beans.factory.support.DefaultListableBeanFactory | Returning cached instance of singleton bean 'autoConfigurationReport'
INFO | 2018-04-16 15:44:47,910 | [bootstrap,,,] | restartedMain org.springframework.context.annotation.AnnotationConfigApplicationContext | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@4cb03e8f: startup date [Mon Apr 16 15:44:47 CST 2018]; root of context hierarchy
DEBUG | 2018-04-16 15:44:47,910 | [bootstrap,,,] | restartedMain org.springframework.context.annotation.AnnotationConfigApplicationContext | Bean factory for org.springframework.context.annotation.AnnotationConfigApplicationContext@4cb03e8f: org.springframework.beans.factory.support.DefaultListableBeanFactory@5f249c67: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.event.internalEventListenerProcessor,org.springframework.context.event.internalEventListenerFactory,propertySourceBootstrapConfiguration,encryptionBootstrapConfiguration,configurationPropertiesRebinderAutoConfiguration,propertyPlaceholderAutoConfiguration,configServiceBootstrapConfiguration]; root of factory hierarchy
DEBUG | 2018-04-16 15:44:47,927 | [bootstrap,,,] | restartedMain org.springframework.beans.factory.support.DefaultListableBeanFactory | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
DEBUG | 2018-04-16 15:44:47,927 | [bootstrap,,,] | restartedMain org.springframework.beans.factory.support.DefaultListableBeanFactory | Creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
